# MiniMax H3 — character usability index
#
# Which named characters H3 actually reproduces when you write the name and
# nothing else. Compiled by malcolmrey by generating test clips per character
# and judging each one by eye:
#   https://huggingface.co/datasets/malcolmrey/various  (h3-center/known-characters)
# Snapshot of the INDEX.md generated 2026-08-21. Community testing, not an
# official MiniMax list, and one person's judgement of a handful of clips —
# treat it as a strong hint, never as a guarantee.
#
# status	name	actor	franchise	clips
#   g  reproduced recognisably       f  mixed        b  did not reproduce
# actor is blank when it is the same as the name (the real-person rows).
b	Amanda Seyfried		Real Person / Celebrity	1
b	Amy Adams		Real Person / Celebrity	1
b	Amy Dunne	Rosamund Pike	Gone Girl	1
b	Amy Poehler		Real Person / Celebrity	1
b	Amy Pond	Karen Gillan	Doctor Who	1
b	Amy Winehouse		Real Person / Celebrity	2
b	Ana de Armas		Real Person / Celebrity	1
b	Ana Kasparian		The Young Turks	2
b	Anastasia Steele	Dakota Johnson	Fifty Shades of Grey	1
b	Andie MacDowell		Real Person / Celebrity	1
b	Andre Royo		Real Person / Celebrity	1
b	Andrew Robinson		Real Person / Celebrity	1
b	Andy Serkis		Real Person / Celebrity	1
b	Angel Batista	David Zayas	Dexter	1
b	Angela Martin	Angela Kinsey	The Office	1
b	Angelica Teach	Penélope Cruz	Pirates of the Caribbean	1
b	Anna Faris		Real Person / Celebrity	1
b	Anna Gunn		Real Person / Celebrity	1
b	Anna Kendrick		Real Person / Celebrity	1
b	Anna Torv		Real Person / Celebrity	1
b	Anne Dudek		Real Person / Celebrity	1
b	Annette O'Toole		Real Person / Celebrity	1
b	Annie Edison	Alison Brie	Community	1
b	Annie Hall	Diane Keaton	Annie Hall	1
b	Annie Wilkes	Kathy Bates	Misery	1
b	Antje Traue		Real Person / Celebrity	1
b	Anton Chigurh	Javier Bardem	No Country for Old Men	1
b	Anya Chalotra		Real Person / Celebrity	1
b	Anya Taylor-Joy		Real Person / Celebrity	1
b	April Ludgate	Aubrey Plaza	Parks and Recreation	2
b	Aragorn	Viggo Mortensen	Lord of the Rings	1
b	Ari Gold	Jeremy Piven	Entourage	1
b	Aria Giovanni		Real Person / Celebrity	1
b	Aria Montgomery	Lucy Hale	Pretty Little Liars	1
b	Ariel Winter		Real Person / Celebrity	1
b	Armin Shimerman		Real Person / Celebrity	1
b	Arthur Curry / Aquaman	Jason Momoa	Aquaman	1
b	Arya Stark	Maisie Williams	Game of Thrones	1
b	Ash Williams	Bruce Campbell	Evil Dead	1
b	Ashley Judd		Real Person / Celebrity	1
b	Asmongold	Zack Hoyt	Real Person / Celebrity	1
b	Atticus Finch	Gregory Peck	To Kill a Mockingbird	1
b	Aubrey Plaza		Real Person / Celebrity	1
b	Audrey Hepburn		Real Person / Celebrity	1
b	Austin Powers	Mike Myers	Austin Powers	1
b	Ava	Alicia Vikander	Ex Machina	1
b	Avon Barksdale	Wood Harris	The Wire	1
b	B'Elanna Torres	Roxann Dawson	Star Trek: Voyager	1
b	B-Rabbit	Eminem	8 Mile	1
b	Bane	Tom Hardy	The Dark Knight Rises	1
b	Barb Wire	Pamela Anderson	Barb Wire	1
b	Barbarella	Jane Fonda	Barbarella	1
b	Baron Vladimir Harkonnen	Stellan Skarsgård	Dune	1
b	Beavis (voiced by Mike Judge)		Beavis and Butt-Head	1
b	Beca Mitchell	Anna Kendrick	Pitch Perfect	1
b	Bellatrix Lestrange	Helena Bonham Carter	Harry Potter	1
b	Benicio del Toro		Real Person / Celebrity	1
b	Bernard Hill		Real Person / Celebrity	1
b	Bernard Lowe	Jeffrey Wright	Westworld	1
b	Beth Dutton	Kelly Reilly	Yellowstone	1
b	Beth Harmon	Anya Taylor-Joy	The Queen's Gambit	1
b	Bette Davis		Real Person / Celebrity	1
b	Biff Tannen	Thomas F. Wilson	Back to the Future	1
b	Bilbo Baggins	Ian Holm	Lord of the Rings	1
b	Bill	David Carradine	Kill Bill	1
b	Bill Burr		Real Person / Celebrity	1
b	Billy Dee Williams		Real Person / Celebrity	1
b	Billy Hargrove	Dacre Montgomery	Stranger Things	1
b	Blade	Wesley Snipes	Blade	1
b	Blanche Devereaux	Rue McClanahan	The Golden Girls	1
b	Boba Fett	Temuera Morrison	The Mandalorian	1
b	Bobby Baccalieri	Steve Schirripa	The Sopranos	1
b	Borat Sagdiyev	Sacha Baron Cohen	Borat	1
b	Boromir	Sean Bean	The Lord of the Rings	1
b	Boyd Crowder	Walton Goggins	Justified	1
b	Bree Van de Kamp	Marcia Cross	Desperate Housewives	1
b	Brendan Fraser		Real Person / Celebrity	1
b	Brett Goldstein		Real Person / Celebrity	1
b	Brian Cox		Real Person / Celebrity	1
b	Bridget Jones	Renée Zellweger	Bridget Jones's Diary	1
b	Brienne of Tarth	Gwendoline Christie	Game of Thrones	1
b	Bronn	Jerome Flynn	Game of Thrones	1
b	Bruce Lee		Real Person / Celebrity	1
b	Bryce Dallas Howard		Real Person / Celebrity	1
b	Bubbles	Andre Royo	The Wire	1
b	Bucky Barnes / Winter Soldier	Sebastian Stan	Captain America	1
b	Bunk Moreland	Wendell Pierce	The Wire	1
b	Butt-Head (voiced by Mike Judge)		Beavis and Butt-Head	1
b	C.J. Cregg	Allison Janney	The West Wing	1
b	C.J. Parker	Pamela Anderson	Baywatch	1
b	Cady Heron	Lindsay Lohan	Mean Girls	1
b	Caleb McLaughlin		Real Person / Celebrity	1
b	Captain Jack Harkness	John Barrowman	Torchwood	1
b	Captain James T. Kirk	William Shatner	Star Trek: The Original Series	1
b	Captain Leland Stottlemeyer	Ted Levine	Monk	1
b	Carey Mahoney	Steve Guttenberg	Police Academy	1
b	Carmela Soprano	Edie Falco	The Sopranos	1
b	Carol Connelly	Helen Hunt	As Good as It Gets	1
b	Carol Peletier	Melissa McBride	The Walking Dead	1
b	Carrie Fisher		Real Person / Celebrity	1
b	Cary Elwes		Real Person / Celebrity	1
b	Cary Grant		Real Person / Celebrity	1
b	Cassian Andor	Diego Luna	Andor	1
b	Cassie Howard	Sydney Sweeney	Euphoria	1
b	Catherine Tramell	Sharon Stone	Basic Instinct	1
b	Cece Parekh	Hannah Simone	New Girl	1
b	Cedric Daniels	Lance Reddick	The Wire	1
b	Cersei Lannister	Lena Headey	Game of Thrones	1
b	Chadwick Boseman		Real Person / Celebrity	1
b	Chakotay	Robert Beltran	Star Trek: Voyager	1
b	Charles	Hugh Grant	Four Weddings and a Funeral	1
b	Charles Dance		Real Person / Celebrity	1
b	Charlie Kelly	Charlie Day	It's Always Sunny in Philadelphia	1
b	Charlotte York	Kristin Davis	Sex and the City	1
b	Cher Horowitz	Alicia Silverstone	Clueless	1
b	Chevy Chase		Real Person / Celebrity	1
b	Chloe Sullivan	Allison Mack	Smallville	1
b	Chloë Sevigny		Real Person / Celebrity	1
b	Chris Farley		Real Person / Celebrity	1
b	Christopher Lee		Real Person / Celebrity	1
b	Christopher Lloyd		Real Person / Celebrity	1
b	Christopher Moltisanti	Michael Imperioli	The Sopranos	1
b	Christopher Nolan		Real Person / Celebrity	1
b	Christopher Walken		Real Person / Celebrity	1
b	Chuck McGill	Michael McKean	Better Call Saul	1
b	Cindy Campbell	Anna Faris	Scary Movie	2
b	Claire	Sian Clifford	Fleabag	1
b	Claire Dearing	Bryce Dallas Howard	Jurassic World	1
b	Claire Underwood	Robin Wright	House of Cards	1
b	Clarice Starling	Jodie Foster	The Silence of the Lambs	1
b	Clark Gable		Real Person / Celebrity	1
b	Clark Griswold	Chevy Chase	National Lampoon's Vacation	1
b	Clarke Peters		Real Person / Celebrity	1
b	Clay Morrow	Ron Perlman	Sons of Anarchy	1
b	Cleopatra	Elizabeth Taylor	Cleopatra	1
b	Colm Meaney		Real Person / Celebrity	1
b	Colonel Jack O'Neill	Richard Dean Anderson	Stargate SG-1	1
b	Colonel Kurtz	Marlon Brando	Apocalypse Now	1
b	Commissioner James Gordon	Gary Oldman	The Dark Knight	1
b	Commissioner James Gordon	J.K. Simmons	Justice League	1
b	Conleth Hill		Real Person / Celebrity	1
b	Connor MacLeod	Christopher Lambert	Highlander	1
b	Connor Roy	Alan Ruck	Succession	1
b	Cordell Walker	Chuck Norris	Walker	1
b	Cosmo Kramer	Michael Richards	Seinfeld	1
b	Count Dooku	Christopher Lee	Star Wars	1
b	Crispin Glover		Real Person / Celebrity	1
b	Cristal Connors	Gina Gershon	Showgirls	1
b	Cyrus Grissom	John Malkovich	Con Air	1
b	Dacre Montgomery		Real Person / Celebrity	1
b	Dale Denton	Seth Rogen	Pineapple Express	1
b	Daniel LaRusso	Ralph Macchio	The Karate Kid	1
b	Daphne Bridgerton	Phoebe Dynevor	Bridgerton	1
b	Dark Helmet	Rick Moranis	Spaceballs	1
b	David Brent	Ricky Gervais	The Office	1
b	David Carradine		Real Person / Celebrity	1
b	David Dastmalchian		Real Person / Celebrity	1
b	David Fincher		Real Person / Celebrity	1
b	David Harbour		Real Person / Celebrity	1
b	David Lynch		Real Person / Celebrity	1
b	David Mitchell		Real Person / Celebrity	1
b	David Thewlis		Real Person / Celebrity	1
b	Davos Seaworth	Liam Cunningham	Game of Thrones	1
b	Deanna Troi	Marina Sirtis	Star Trek: The Next Generation	2
b	Debbie Eagan	Betty Gilpin	GLOW	1
b	Debra Morgan	Jennifer Carpenter	Dexter	1
b	Del Griffith	John Candy	Planes	1
b	Denis Leary		Real Person / Celebrity	1
b	Denis Villeneuve		Real Person / Celebrity	1
b	Dennis Reynolds	Glenn Howerton	It's Always Sunny in Philadelphia	1
b	Detective Angela Lopez	Alyssa Diaz	The Rookie	1
b	Dewey Finn	Jack Black	School of Rock	1
b	Dexter Morgan	Michael C. Hall	Dexter	1
b	Diane Keaton		Real Person / Celebrity	1
b	Diego Luna		Real Person / Celebrity	1
b	Din Djarin	Pedro Pascal	The Mandalorian	1
b	Doc Holliday	Val Kilmer	Tombstone	1
b	Dolores Abernathy	Evan Rachel Wood	Westworld	1
b	Dominic Chianese		Real Person / Celebrity	1
b	Don Vito Corleone	Marlon Brando	The Godfather	1
b	Donna Paulsen	Sarah Rafferty	Suits	1
b	Dorothy Gale	Judy Garland	The Wizard of Oz	1
b	Dorothy Zbornak	Bea Arthur	The Golden Girls	1
b	Dr. Alan Grant	Sam Neill	Jurassic Park	1
b	Dr. Amber Volakis	Anne Dudek	House M.D.	1
b	Dr. Beverly Crusher	Gates McFadden	Star Trek: The Next Generation	1
b	Dr. Carol Marcus	Alice Eve	Star Trek Into Darkness	1
b	Dr. Cliff Huxtable	Bill Cosby	The Cosby Show	1
b	Dr. Daniel Jackson	Michael Shanks	Stargate SG-1	1
b	Dr. Elizabeth Weir	Torri Higginson	Stargate Atlantis	1
b	Dr. Emmett Brown	Christopher Lloyd	Back to the Future	1
b	Dr. Frasier Crane	Kelsey Grammer	Frasier	1
b	Dr. James Wilson	Robert Sean Leonard	House M.D.	1
b	Dr. Joel Fleischman	Rob Morrow	Northern Exposure	1
b	Dr. John \"J.D.\" Dorian	Zach Braff	Scrubs	1
b	Dr. John Carter	Noah Wyle	ER	1
b	Dr. Kate McTiernan	Ashley Judd	Kiss the Girls	1
b	Dr. King Schultz	Christoph Waltz	Django Unchained	1
b	Dr. Leonard \"Bones\" McCoy	DeForest Kelley	Star Trek: The Original Series	1
b	Dr. Lisa Cuddy	Lisa Edelstein	House M.D.	1
b	Dr. Peter Venkman	Bill Murray	Ghostbusters	1
b	Dr. Raymond Stantz	Dan Aykroyd	Ghostbusters	1
b	Draco Malfoy	Tom Felton	Harry Potter	1
b	Drew Barrymore		Real Person / Celebrity	1
b	Dustin Henderson	Gaten Matarazzo	Stranger Things	1
b	Dustin Hoffman		Real Person / Celebrity	1
b	Eddie Munson	Joseph Quinn	Stranger Things	1
b	Eddie Redmayne		Real Person / Celebrity	1
b	Edie Falco		Real Person / Celebrity	1
b	Edward James Olmos		Real Person / Celebrity	1
b	Edward Norton		Real Person / Celebrity	1
b	El Mariachi	Antonio Banderas	Desperado	1
b	Elena Montero	Catherine Zeta-Jones	The Mask of Zorro	1
b	Elim Garak	Andrew Robinson	Star Trek: Deep Space Nine	1
b	Elizabeth Taylor		Real Person / Celebrity	1
b	Ellen Ripley	Sigourney Weaver	Alien	2
b	Elrond	Hugo Weaving	The Lord of the Rings	1
b	Emily Blunt		Real Person / Celebrity	1
b	Emily Fields	Shay Mitchell	Pretty Little Liars	1
b	Eminem		Real Person / Celebrity	1
b	Emma D'Arcy		Real Person / Celebrity	1
b	Emma Thompson		Real Person / Celebrity	1
b	Emperor Palpatine	Ian McDiarmid	Star Wars	1
b	Eric Northman	Alexander Skarsgård	True Blood	1
b	Erin Grant	Demi Moore	Striptease	1
b	Erlich Bachman	T.J. Miller	Silicon Valley	1
b	Evan	Michael Cera	Superbad	1
b	Evanna Lynch		Real Person / Celebrity	1
b	Evelyn Abbott	Emily Blunt	A Quiet Place	1
b	Evelyn Carnahan	Rachel Weisz	The Mummy	1
b	Faora-Ul	Antje Traue	Man of Steel	1
b	Ferris Bueller	Matthew Broderick	Ferris Bueller's Day Off	1
b	Finn Wolfhard		Real Person / Celebrity	1
b	Fiona Goode	Jessica Lange	American Horror Story	1
b	Fleabag	Phoebe Waller-Bridge	Fleabag	1
b	Floki	Gustaf Skarsgård	Vikings	1
b	Florence Pugh		Real Person / Celebrity	1
b	Fran Fine	Fran Drescher	The Nanny	1
b	Frances McDormand		Real Person / Celebrity	1
b	Francis Ford Coppola		Real Person / Celebrity	1
b	Franck Eggelhoffer	Martin Short	Father of the Bride	1
b	Frank Black	Lance Henriksen	Millennium	1
b	Frank Bullitt	Steve McQueen	Bullitt	1
b	Frank Castle	Jon Bernthal	The Punisher	1
b	Frank Castle	Thomas Jane	The Punisher	1
b	Frank Reynolds	Danny DeVito	It's Always Sunny in Philadelphia	1
b	Frank White	Christopher Walken	King of New York	2
b	Frankie Bergstein	Lily Tomlin	Grace and Frankie	1
b	Fredo Corleone	John Cazale	The Godfather	1
b	Frenchie	Tomer Capone	The Boys	1
b	Frodo Baggins	Elijah Wood	Lord of the Rings	1
b	Gabriel Macht		Real Person / Celebrity	1
b	Gabrielle Solis	Eva Longoria	Desperate Housewives	1
b	Gaius Baltar	James Callis	Battlestar Galactica	1
b	Galadriel	Cate Blanchett	The Lord of the Rings	1
b	Galina \"Red\" Reznikov	Kate Mulgrew	Orange Is the New Black	1
b	Gamora	Zoe Saldana	Guardians of the Galaxy	1
b	Gary Oldman		Real Person / Celebrity	1
b	Gaten Matarazzo		Real Person / Celebrity	1
b	Gene Hackman		Real Person / Celebrity	1
b	George Bailey	James Stewart	It's a Wonderful Life	1
b	George Carlin		Real Person / Celebrity	1
b	George Lucas		Real Person / Celebrity	1
b	George McFly	Crispin Glover	Back to the Future	1
b	George Takei		Real Person / Celebrity	1
b	Gerri Kellman	J. Smith-Cameron	Succession	1
b	Gil Grissom	William Petersen	CSI: Las Vegas	1
b	Gillian Anderson		Real Person / Celebrity	1
b	Gimli	John Rhys-Davies	The Lord of the Rings	1
b	Goldie Hawn		Real Person / Celebrity	1
b	Gollum	Andy Serkis	The Lord of the Rings	1
b	Grace Hanson	Jane Fonda	Grace and Frankie	1
b	Grace Kelly		Real Person / Celebrity	1
b	Graham Norton		Real Person / Celebrity	1
b	Grand Moff Tarkin	Peter Cushing	Star Wars	1
b	Greg Hirsch	Nicholas Braun	Succession	1
b	Gregory Peck		Real Person / Celebrity	1
b	Gretchen Wieners	Lacey Chabert	Mean Girls	1
b	Guillermo del Toro		Real Person / Celebrity	1
b	Gustavo Fring	Giancarlo Esposito	Breaking Bad	1
b	Guy Pearce		Real Person / Celebrity	1
b	Gwendoline Christie		Real Person / Celebrity	1
b	Halle Berry		Real Person / Celebrity	1
b	Hank Schrader	Dean Norris	Breaking Bad	1
b	Hanna Marin	Ashley Benson	Pretty Little Liars	1
b	Hannah Montana	Miley Cyrus	Hannah Montana	1
b	Hannah Waddingham		Real Person / Celebrity	1
b	Harley Quinn	Margot Robbie	Suicide Squad	2
b	Harry Hart / Galahad	Colin Firth	Kingsman	1
b	Harvey Dent / Two-Face	Aaron Eckhart	The Dark Knight	1
b	Harvey Dent / Two-Face	Tommy Lee Jones	Batman Forever	1
b	Harvey Keitel		Real Person / Celebrity	1
b	Harvey Specter	Gabriel Macht	Suits	1
b	Hawkeye	Daniel Day-Lewis	The Last of the Mohicans	1
b	Hawkeye Pierce	Alan Alda	M*A*S*H	1
b	Hayden Christensen		Real Person / Celebrity	1
b	Heath Ledger		Real Person / Celebrity	1
b	Hela	Cate Blanchett	Thor: Ragnarok	1
b	Helen Hunt		Real Person / Celebrity	1
b	Helen Mirren		Real Person / Celebrity	1
b	Henry Fonda		Real Person / Celebrity	1
b	Henry Hill	Ray Liotta	Goodfellas	1
b	Hercules	Kevin Sorbo	Hercules: The Legendary Journeys	1
b	Hikaru Sulu	George Takei	Star Trek	1
b	Hiro Nakamura	Masi Oka	Heroes	1
b	Hoban Washburne	Alan Tudyk	Firefly	1
b	Holly Golightly	Audrey Hepburn	Breakfast at Tiffany's	1
b	Horatio Caine	David Caruso	CSI: Miami	1
b	Howard Hamlin	Patrick Fabian	Better Call Saul	1
b	Hugh Grant		Real Person / Celebrity	1
b	Hughie Campbell	Jack Quaid	The Boys	1
b	Humphrey Bogart		Real Person / Celebrity	1
b	Ian McDiarmid		Real Person / Celebrity	1
b	Ilana Wexler	Ilana Glazer	Broad City	1
b	Ilsa Lund	Ingrid Bergman	Casablanca	1
b	Inara Serra	Morena Baccarin	Firefly	1
b	Ingrid Bergman		Real Person / Celebrity	1
b	Inigo Montoya	Mandy Patinkin	The Princess Bride	1
b	Inspector Jacques Clouseau	Peter Sellers	The Pink Panther	1
b	Ip Man	Donnie Yen	Ip Man	1
b	Ivar the Boneless	Alex Høgh Andersen	Vikings	1
b	Iwan Rheon		Real Person / Celebrity	1
b	J. Smith-Cameron		Real Person / Celebrity	1
b	J.R. Ewing	Larry Hagman	Dallas	1
b	Jack Carter	Colin Ferguson	Eureka	1
b	Jack Gleeson		Real Person / Celebrity	1
b	Jack Reacher	Alan Ritchson	Reacher	1
b	Jack Torrance	Jack Nicholson	The Shining	1
b	Jadzia Dax	Terry Farrell	Star Trek: Deep Space Nine	1
b	Jaime Lannister	Nikolaj Coster-Waldau	Game of Thrones	1
b	Jake Blues	John Belushi	The Blues Brothers	1
b	Jake Harper	Angus T. Jones	Two and a Half Men	1
b	James \"Sawyer\" Ford	Josh Holloway	Lost	1
b	James Bond (Pierce Brosnan)	Pierce Brosnan	James Bond	1
b	James Bond (Sean Connery)	Sean Connery	James Bond	1
b	James Bond (Timothy Dalton)	Timothy Dalton	James Bond	1
b	James Caan		Real Person / Celebrity	1
b	James Callis		Real Person / Celebrity	1
b	James Cameron		Real Person / Celebrity	1
b	James Doohan		Real Person / Celebrity	1
b	James Holden	Steven Strait	The Expanse	1
b	James Stewart		Real Person / Celebrity	1
b	Jamie Campbell Bower		Real Person / Celebrity	1
b	Jamie Hector		Real Person / Celebrity	1
b	Jamie Tartt	Phil Dunster	Ted Lasso	1
b	Jan Levinson	Melora Hardin	The Office	1
b	Jane Chapman	Shailene Woodley	Big Little Lies	1
b	Janice Soprano	Aida Turturro	The Sopranos	1
b	Jared Leto		Real Person / Celebrity	1
b	Jason Isaacs		Real Person / Celebrity	1
b	Jason Sudeikis		Real Person / Celebrity	1
b	Javier Bardem		Real Person / Celebrity	1
b	Jay	Jason Mewes	Jay and Silent Bob	1
b	Jay Leno		Real Person / Celebrity	1
b	Jayne Cobb	Adam Baldwin	Firefly	1
b	Jeff Winger	Joel McHale	Community	1
b	Jeffrey Wright		Real Person / Celebrity	1
b	Jennifer Check	Megan Fox	Jennifer's Body	1
b	Jennifer Melfi	Lorraine Bracco	The Sopranos	1
b	Jeremy Irons		Real Person / Celebrity	1
b	Jeremy Strong		Real Person / Celebrity	1
b	Jeri Ryan		Real Person / Celebrity	1
b	Jerome Flynn		Real Person / Celebrity	1
b	Jerry Smith	Chris Parnell	Rick and Morty	1
b	Jess Day	Zooey Deschanel	New Girl	1
b	Jesse Plemons		Real Person / Celebrity	1
b	Jessica Lange		Real Person / Celebrity	1
b	Jill St. Claire	Amanda Peet	The Whole Nine Yards	1
b	Jim Hopper	David Harbour	Stranger Things	1
b	Jim Levenstein	Jason Biggs	American Pie	1
b	Jimmy Kimmel		Real Person / Celebrity	1
b	Jimmy McNulty	Dominic West	The Wire	1
b	Jimmy Popeye Doyle	Gene Hackman	The French Connection	1
b	Joan Holloway	Christina Hendricks	Mad Men	1
b	Joe Keery		Real Person / Celebrity	1
b	Joe Pantoliano		Real Person / Celebrity	1
b	Joe Pesci		Real Person / Celebrity	1
b	Joel Kinnaman		Real Person / Celebrity	1
b	Joffrey Baratheon	Jack Gleeson	Game of Thrones	1
b	John Belushi		Real Person / Celebrity	1
b	John Candy		Real Person / Celebrity	1
b	John Carpenter		Real Person / Celebrity	1
b	John Cazale		Real Person / Celebrity	1
b	John Hammond	Richard Attenborough	Jurassic Park	1
b	John Kramer	Tobin Bell	Saw	1
b	John Kreese	Martin Kove	Cobra Kai	1
b	John Malkovich		Real Person / Celebrity	1
b	John Noble		Real Person / Celebrity	1
b	John Rhys-Davies		Real Person / Celebrity	1
b	John Wayne		Real Person / Celebrity	1
b	Johnny Carson		Real Person / Celebrity	1
b	Johnny Lawrence	William Zabka	Cobra Kai	1
b	Johnny Sack	Vincent Curatola	The Sopranos	1
b	Jolene Blalock		Real Person / Celebrity	1
b	Jonah Hill		Real Person / Celebrity	1
b	Joseph Quinn		Real Person / Celebrity	1
b	Josh Brolin		Real Person / Celebrity	1
b	Joyce Byers	Winona Ryder	Stranger Things	1
b	Juan	Mahershala Ali	Moonlight	1
b	Judy Garland		Real Person / Celebrity	1
b	Julian Bashir	Alexander Siddig	Star Trek: Deep Space Nine	1
b	Julianne Moore		Real Person / Celebrity	1
b	Julie Andrews		Real Person / Celebrity	1
b	Juno Temple		Real Person / Celebrity	1
b	Juror 8	Henry Fonda	12 Angry Men	1
b	Justin Hammer	Sam Rockwell	Iron Man 2	1
b	Kala Dandekar	Tina Desai	Sense8	1
b	Kara Thrace	Katee Sackhoff	Battlestar Galactica	1
b	Karen Smith	Amanda Seyfried	Mean Girls	2
b	Karen van der Beek	Natascha McElhone	Californication	1
b	Karl Urban		Real Person / Celebrity	1
b	Kate Austen	Evangeline Lilly	Lost	1
b	Kate Sharma	Simone Ashley	Bridgerton	1
b	Katee Sackhoff		Real Person / Celebrity	1
b	Katharine Hepburn		Real Person / Celebrity	1
b	Kathryn Janeway	Kate Mulgrew	Star Trek: Voyager	1
b	Kathryn Merteuil	Sarah Michelle Gellar	Cruel Intentions	1
b	Kathy Bates		Real Person / Celebrity	1
b	Katniss Everdeen	Jennifer Lawrence	The Hunger Games	2
b	Keeley Jones	Juno Temple	Ted Lasso	1
b	Kelly Reilly		Real Person / Celebrity	1
b	Kelly Van Ryan	Denise Richards	Wild Things	1
b	Kendall Roy	Jeremy Strong	Succession	1
b	Kevin McCallister	Macaulay Culkin	Home Alone	1
b	Khan Noonien Singh	Ricardo Montalbán	Star Trek	1
b	Kieran Culkin		Real Person / Celebrity	1
b	Kim Basinger		Real Person / Celebrity	1
b	Kim Wexler	Rhea Seehorn	Breaking Bad	1
b	King Arthur	Graham Chapman	Monty Python	1
b	King George VI	Colin Firth	The King's Speech	1
b	King Théoden	Bernard Hill	The Lord of the Rings	1
b	Kira Nerys	Nana Visitor	Star Trek: Deep Space Nine	1
b	Kirk Douglas		Real Person / Celebrity	1
b	Kurt Russell		Real Person / Celebrity	1
b	Kurt Sloane	Jean-Claude Van Damme	Kickboxer	1
b	Lady Edith Crawley	Laura Carmichael	Downton Abbey	1
b	Lady Mary Crawley	Michelle Dockery	Downton Abbey	1
b	Lagertha	Katheryn Winnick	Vikings	1
b	Lalo Salamanca	Tony Dalton	Better Call Saul	1
b	Lance Reddick		Real Person / Celebrity	1
b	Lando Calrissian	Billy Dee Williams	Star Wars	1
b	Laura Roslin	Mary McDonnell	Battlestar Galactica	1
b	Laurie Strode	Jamie Lee Curtis	Halloween	1
b	Lea Thompson		Real Person / Celebrity	1
b	Lee	Bruce Lee	Enter the Dragon	1
b	Leeloo	Milla Jovovich	The Fifth Element	1
b	Legolas	Orlando Bloom	The Lord of the Rings	1
b	Leonard Shelby	Guy Pearce	Memento	1
b	Leslie Knope	Amy Poehler	Parks and Recreation	2
b	Lester Freamon	Clarke Peters	The Wire	1
b	Lex Luthor	Gene Hackman	Superman	1
b	Lex Luthor	Michael Rosenbaum	Smallville	1
b	Liam Cunningham		Real Person / Celebrity	1
b	Lieutenant Frank Drebin	Leslie Nielsen	The Naked Gun	1
b	Lieutenant Randy Disher	Jason Gray-Stanford	Monk	1
b	Lincoln Burrows	Dominic Purcell	Prison Break	1
b	Lisa Fremont	Grace Kelly	Rear Window	1
b	Llewelyn Moss	Josh Brolin	No Country for Old Men	1
b	Logan Roy	Brian Cox	Succession	1
b	Lois Wilkerson	Jane Kaczmarek	Malcolm in the Middle	1
b	Lord Voldemort	Ralph Fiennes	Harry Potter	1
b	Lorelai Gilmore	Lauren Graham	Gilmore Girls	1
b	Lorraine Baines	Lea Thompson	Back to the Future	1
b	Lorraine Bracco		Real Person / Celebrity	1
b	Lorraine Broughton	Charlize Theron	Atomic Blonde	1
b	Louis Litt	Rick Hoffman	Suits	1
b	Lt. Col. Bill Kilgore	Robert Duvall	Apocalypse Now	1
b	Luc Deveraux	Jean-Claude Van Damme	Universal Soldier	1
b	Lucas Sinclair	Caleb McLaughlin	Stranger Things	1
b	Lucius Malfoy	Jason Isaacs	Harry Potter	1
b	Lukas Matsson	Alexander Skarsgård	Succession	1
b	Luke Skywalker	Mark Hamill	Star Wars	1
b	Luna Lovegood	Evanna Lynch	Harry Potter	1
b	Luthen Rael	Stellan Skarsgård	Andor	1
b	Lydia Deetz	Winona Ryder	Beetlejuice	1
b	Lynette Scavo	Felicity Huffman	Desperate Housewives	1
b	Lynn Bracken	Kim Basinger	L.A. Confidential	2
b	Maeve Millay	Thandiwe Newton	Westworld	1
b	Mahershala Ali		Real Person / Celebrity	1
b	Major Richard Winters	Damian Lewis	Band of Brothers	1
b	Major Samantha Carter	Amanda Tapping	Stargate SG-1	1
b	Malcolm Tucker	Peter Capaldi	The Thick of It	1
b	Malèna Scordia	Monica Bellucci	Malèna	1
b	Marcus Burnett	Martin Lawrence	Bad Boys	1
b	Mare Sheehan	Kate Winslet	Mare of Easttown	1
b	Marge Gunderson	Frances McDormand	Fargo	1
b	Margo Channing	Bette Davis	All About Eve	1
b	Maria von Trapp	Julie Andrews	The Sound of Music	1
b	Mark Corrigan	David Mitchell	Peep Show	1
b	Mark Renton	Ewan McGregor	Trainspotting	1
b	Mark Strong		Real Person / Celebrity	1
b	Marlo Stanfield	Jamie Hector	The Wire	1
b	Marta Cabrera	Ana de Armas	Knives Out	1
b	Martha Kent	Annette O'Toole	Smallville	1
b	Martin Kove		Real Person / Celebrity	1
b	Martin Lawrence		Real Person / Celebrity	1
b	Martin Scorsese		Real Person / Celebrity	1
b	Martin Short		Real Person / Celebrity	1
b	Marty Byrde	Jason Bateman	Ozark	1
b	Mary McDonnell		Real Person / Celebrity	1
b	Mary Poppins	Julie Andrews	Mary Poppins	1
b	Matt Murdock	Charlie Cox	Daredevil	1
b	Matthew Lewis		Real Person / Celebrity	1
b	Matthew Macfadyen		Real Person / Celebrity	1
b	Maude Lebowski	Julianne Moore	The Big Lebowski	1
b	Max	Jessica Parker Kennedy	Black Sails	1
b	Max Mayfield	Sadie Sink	Stranger Things	1
b	Maya Hawke		Real Person / Celebrity	1
b	Meg Ryan		Real Person / Celebrity	1
b	Meredith Grey	Ellen Pompeo	Grey's Anatomy	1
b	Merlin	Mark Strong	Kingsman	1
